time,user,param,value,time_sec
00:08:39.8390370,3,amplitude,29.4,519.839037
00:08:39.8905195,3,amplitude,29.5,519.8905195
00:08:39.9229457,3,amplitude,29.6,519.9229457
00:08:39.9397316,3,amplitude,29.7,519.9397316
00:08:39.9565229,3,amplitude,29.8,519.9565229
00:08:40.0056256,3,amplitude,30.0,520.0056256
00:08:40.0560638,3,amplitude,30.1,520.0560638
00:08:40.0740253,3,amplitude,30.2,520.0740253
00:08:40.0907217,3,amplitude,30.3,520.0907217
00:08:40.1227586,3,amplitude,30.4,520.1227586
00:08:40.1405387,3,amplitude,30.7,520.1405387
00:08:40.1729368,3,amplitude,30.8,520.1729368
00:08:40.1903994,3,amplitude,30.9,520.1903994
00:08:40.2063356,3,amplitude,31.1,520.2063356
00:08:40.2383667,3,amplitude,31.3,520.2383667
00:08:40.2734681,3,amplitude,31.4,520.2734681
00:08:40.3084521,3,amplitude,31.5,520.3084521
00:08:41.2713448,3,amplitude,31.4,521.2713448
00:08:41.3398823,3,amplitude,31.3,521.3398823
00:08:41.3737387,3,amplitude,31.1,521.3737387
00:08:41.4737524,3,amplitude,31.0,521.4737524
00:08:41.5056740,3,amplitude,30.9,521.505674
00:08:41.5248880,3,amplitude,30.8,521.524888
00:08:41.5895830,3,amplitude,30.7,521.589583
00:08:41.6070565,3,amplitude,30.5,521.6070565
00:08:41.6427020,3,amplitude,30.4,521.642702
00:08:41.6567246,3,amplitude,30.3,521.6567246
00:08:41.6896553,3,amplitude,30.2,521.6896553
00:08:42.1407116,3,amplitude,30.4,522.1407116
00:08:42.1894168,3,amplitude,30.5,522.1894168
00:08:42.2064091,3,amplitude,30.7,522.2064091
00:08:43.1402778,3,amplitude,30.5,523.1402778
00:08:43.3929511,2,amplitude,30.0,523.3929511
00:08:43.4899391,3,amplitude,30.4,523.4899391
00:08:46.4054776,0,frequency,0.5,526.4054776
00:08:46.4059793,0,frequency,0.5,526.4059793
00:08:46.4070364,0,frequency,0.5,526.4070364
00:08:46.4075416,0,frequency,0.5,526.4075416000001
00:08:49.0365111,0,frequency,0.7,529.0365111
00:08:49.0370143,0,frequency,0.7,529.0370143
00:08:49.0380727,0,frequency,0.7,529.0380727
00:08:49.0385833,0,frequency,0.7,529.0385833
00:08:49.3655629,0,frequency,0.6,529.3655629
00:08:49.3660729,0,frequency,0.6,529.3660729
00:08:49.3671382,0,frequency,0.6,529.3671382
00:08:49.3676507,0,frequency,0.6,529.3676507
00:08:51.1294629,3,amplitude,30.0,531.1294629
00:09:09.6347527,3,phase shift,6.2657323,549.6347527
00:09:09.8793319,3,phase shift,6.195919,549.8793319
00:09:09.8956824,3,phase shift,6.1086526,549.8956824
00:09:09.9132501,3,phase shift,6.0388393,549.9132501
00:09:09.9292949,3,phase shift,5.951573,549.9292949
00:09:09.9452428,3,phase shift,5.8817596,549.9452428
00:09:09.9633488,3,phase shift,5.8293996,549.9633488
00:09:09.9808737,3,phase shift,5.77704,549.9808737
00:09:09.9953823,3,phase shift,5.759587,549.9953823
00:09:10.0119253,3,phase shift,5.72468,550.0119253
00:09:10.0287560,3,phase shift,5.6723204,550.028756
00:09:10.0454246,3,phase shift,5.6374135,550.0454246
00:09:10.0625507,3,phase shift,5.585054,550.0625507
00:09:10.0950914,3,phase shift,5.5676007,550.0950914
00:09:10.1121884,3,phase shift,5.532694,550.1121884
00:09:10.1465789,3,phase shift,5.5152407,550.1465789
00:09:10.2289047,3,phase shift,5.4977875,550.2289047
00:09:10.2784142,3,phase shift,5.4803343,550.2784142
00:09:10.2938851,3,phase shift,5.4454274,550.2938851
00:09:10.3127926,3,phase shift,5.4105206,550.3127926
00:09:10.3288273,3,phase shift,5.393068,550.3288273000001
00:09:10.3465482,3,phase shift,5.358161,550.3465482
00:09:10.3633209,3,phase shift,5.305801,550.3633209
00:09:10.3953884,3,phase shift,5.2708945,550.3953884
00:09:10.4122364,3,phase shift,5.2185345,550.4122364
00:09:10.4274486,3,phase shift,5.183628,550.4274486
00:09:10.4473444,3,phase shift,5.148721,550.4473444
00:09:10.4629410,3,phase shift,5.113815,550.462941
00:09:10.8446658,3,phase shift,4.991642,550.8446658
00:09:11.1597297,3,phase shift,4.974189,551.1597297
00:09:11.2140798,3,phase shift,4.956735,551.2140798
00:09:11.2286278,3,phase shift,4.939282,551.2286278
00:09:11.2440253,3,phase shift,4.9218287,551.2440253
00:09:11.2770498,3,phase shift,4.904375,551.2770498
00:09:11.2965810,3,phase shift,4.8869224,551.296581
00:09:11.3284331,3,phase shift,4.8694687,551.3284331
00:09:11.3457742,3,phase shift,4.8520155,551.3457742
00:09:11.3622219,3,phase shift,4.8345623,551.3622219
00:09:11.4411892,3,phase shift,4.8171086,551.4411892
00:09:11.4788814,3,phase shift,4.7996554,551.4788814
00:09:11.4980509,3,phase shift,4.7822022,551.4980509
00:09:11.5809046,3,phase shift,4.764749,551.5809046
00:09:11.6794027,3,phase shift,4.747296,551.6794027
00:09:12.4601164,2,phase shift,6.2482786,552.4601164
00:09:19.3453221,3,phase shift,4.6251225,559.3453221
00:09:19.9307800,3,phase shift,3.281219,559.93078
00:09:20.1297611,3,phase shift,3.4208455,560.1297611
00:09:20.1454171,3,phase shift,3.6826448,560.1454171
00:09:20.1635733,3,phase shift,3.7699115,560.1635733
00:09:20.1778366,3,phase shift,3.8222713,560.1778366
00:09:20.1957437,3,phase shift,3.8397243,560.1957437
00:09:20.2118210,3,phase shift,3.8571775,560.211821
00:09:20.3447581,3,phase shift,3.8397243,560.3447581
00:09:20.3632914,3,phase shift,3.8048177,560.3632914
00:09:20.3798139,3,phase shift,3.7524579,560.3798139
00:09:20.3956572,3,phase shift,3.4382985,560.3956572
00:09:20.4128096,3,phase shift,3.159046,560.4128096
00:09:20.4281168,3,phase shift,3.0543263,560.4281168
00:09:20.4467767,3,phase shift,2.9496067,560.4467767
00:09:20.4620890,3,phase shift,2.9146998,560.462089
00:09:20.4777742,3,phase shift,2.8972466,560.4777742
00:09:20.5122529,3,phase shift,2.86234,560.5122529
00:09:20.6783119,3,phase shift,2.8797934,560.6783119
00:09:20.6943697,3,phase shift,2.8972466,560.6943697
00:09:20.7287894,3,phase shift,2.9146998,560.7287894
00:09:20.7470756,3,phase shift,2.9496067,560.7470756
00:09:20.7626368,3,phase shift,2.984513,560.7626368
00:09:20.8120644,3,phase shift,3.0019665,560.8120644
00:09:20.9150221,3,phase shift,3.0368729,560.9150221
00:09:20.9458426,3,phase shift,3.0717795,560.9458426
00:09:28.2380822,2,phase shift,0.03490659,568.2380822
00:09:28.6634492,3,phase shift,3.1241393,568.6634492
00:09:28.6779519,3,phase shift,3.577925,568.6779519
00:09:28.6959293,3,phase shift,4.328417,568.6959293
00:09:28.7149238,3,phase shift,4.590216,568.7149238
00:09:28.7292499,3,phase shift,4.8171086,568.7292499
00:09:28.7440509,3,phase shift,5.0440016,568.7440509
00:09:28.7618390,3,phase shift,5.131268,568.761839
